parameter,value,energy_ev,grazing_angle_deg,status,efficiency,error_message
x_resolution_nm,0.01,6000.0,0.331100000000006,ok,0.013146295021267308,
x_resolution_nm,0.05,6000.0,0.331100000000006,ok,0.013146358416084964,
x_resolution_nm,0.1,6000.0,0.331100000000006,ok,0.013146796892544358,
x_resolution_nm,0.5,6000.0,0.331100000000006,ok,0.013153055195540888,
x_resolution_nm,1.0,6000.0,0.331100000000006,ok,0.013146447603245908,
x_resolution_nm,5.0,6000.0,0.331100000000006,ok,0.013125957189039448,
x_resolution_nm,10.0,6000.0,0.331100000000006,ok,0.013097383943411091,
