wave length	n	k	Energy	WL	-delta	beta		WL			Energy		Energy	beta	Energy	beta		Energy	delta	beta
0.12848109	0.99999966	1.0519897E-8	96499.9495256462	1.2848109E-5	3.40000000043084E-7	1.0519897E-8		2.47844016E-4	1.21303494200154E-4	2.6191659717203E-5	5002.50125062531		96499.9495256462	1.0519897E-8	5002.50125062531	2.6191659717203E-5		10.01	-0.27939	0.98639
0.12888176	0.99999966	1.0640214E-8	96199.9486971624	1.2888176E-5	3.40000000043084E-7	1.0640214E-8		2.602300176E-4	1.33187855815148E-4	3.09288710328304E-5	4764.40040020963		96199.9486971624	1.0640214E-8	4764.40040020963	3.09288710328304E-5		10.011	-0.27933	0.98633
0.12941989	0.99999966	1.0802635E-8	95799.9477514623	1.2941989E-5	3.40000000043084E-7	1.0802635E-8		2.726160192E-4	1.45345098716272E-4	3.63369813549426E-5	4547.93523740222		95799.9477514623	1.0802635E-8	4547.93523740222	3.63369813549426E-5		10.012	-0.27927	0.98627
0.12996253	0.99999965	1.0967457E-8	95399.9487390712	1.2996253E-5	3.49999999982309E-7	1.0967457E-8		2.850020208E-4	1.57645541678612E-4	4.23193000562354E-5	4350.28494366381		95399.9487390712	1.0967457E-8	4350.28494366381	4.23193000562354E-5		10.013	-0.2792	0.9862
0.13050974	0.99999965	1.1134632E-8	94999.9494290618	1.3050974E-5	3.49999999982309E-7	1.1134632E-8		2.973880224E-4	1.70654088339882E-4	4.90066943114874E-5	4169.09864087384		94999.9494290618	1.1134632E-8	4169.09864087384	4.90066943114874E-5		10.01401	-0.27914	0.98614
0.13078507	0.99999965	1.1221217E-8	94799.9546125563	1.3078507E-5	3.49999999982309E-7	1.1221217E-8		3.09774024E-4	1.83111477878546E-4	5.64422245622311E-5	4002.40144086452		94799.9546125563	1.1221217E-8	4002.40144086452	5.64422245622311E-5		10.01501	-0.27908	0.98608
0.13120026	0.99999965	1.1352306E-8	94499.955259235	1.3120026E-5	3.49999999982309E-7	1.1352306E-8		3.221600256E-4	1.95654740707299E-4	6.45362568482058E-5	3848.52216748769		94499.955259235	1.1352306E-8	3848.52216748769	6.45362568482058E-5		10.01601	-0.27901	0.98601
0.13147853	0.99999964	1.1440485E-8	94299.9492008315	1.3147853E-5	3.60000000032557E-7	1.1440485E-8		3.345460272E-4	2.07939260958303E-4	7.32790277559242E-5	3706.03713449209		94299.9492008315	1.1440485E-8	3706.03713449209	7.32790277559242E-5		10.01701	-0.27895	0.98595
0.13189814	0.99999964	1.1573993E-8	93999.951022812	1.3189814E-5	3.60000000032557E-7	1.1573993E-8		3.469320288E-4	2.20130003067366E-4	8.28683357995391E-5	3573.72596669287		93999.951022812	1.1573993E-8	3573.72596669287	8.28683357995391E-5		10.01801	-0.27889	0.98589
0.13217937	0.99999964	1.166496E-8	93799.953048649	1.3217937E-5	3.60000000032557E-7	1.166496E-8		3.593180304E-4	2.29636883679465E-4	9.2602869065047E-5	3450.53655843484		93799.953048649	1.166496E-8	3450.53655843484	9.2602869065047E-5		10.01902	-0.27882	0.98582
