energy_ev,grazing_angle_deg,numpy_actual_backend,numba_actual_backend,numpy_total_s,numba_total_s,numpy_fourier_s,numba_fourier_s,numpy_peak_mb,numba_peak_mb,speedup_numpy_over_numba,numpy_eff_order_m1,numba_eff_order_m1,eff_delta_order_m1
500.0,14.17636,numpy,numba,14.276973244996043,4.4429611139930785,9.902760808181483,0.2689595310948789,341.4773368835449,354.21310234069824,3.2133914474359915,7.274975570192543e-05,7.274975570204774e-05,1.2231155758352097e-16
1000.0,6.48506999999999,numpy,numba,13.849133420997532,4.237583514011931,9.710780418507056,0.08694012073101476,341.0202579498291,341.1137104034424,3.2681676656528875,0.001769148783609879,0.001769148783608891,-9.879250195687916e-16
1500.0,3.9131,numpy,numba,13.84789672199986,4.232739794009831,9.671006782824406,0.08686555715394206,340.8964023590088,341.19686126708984,3.2716154065500054,0.0016112745880328206,0.0016112745880337137,8.931657496935586e-16
2000.0,2.62954000000001,numpy,numba,13.86661120899953,4.201929831004236,9.708261446125107,0.0870452624221798,341.1378116607666,341.11429595947266,3.3000577750451137,0.001818702449621253,0.0018187024496217994,5.464378949326942e-16
2500.0,1.86779,numpy,numba,13.248714135988848,4.197038479993353,9.10778271307936,0.08609879028517753,340.93672466278076,341.04942321777344,3.156681598022859,0.0023277900903342667,0.002327790090336246,1.979319486089537e-15
3000.0,1.36627,numpy,numba,13.899798989994451,4.200810613983776,9.714327691559447,0.08612418393022381,341.063157081604,341.2904644012451,3.3088373333766605,0.002238700880091834,0.002238700880094579,2.744766219864303e-15
3500.0,1.01862,numpy,numba,13.264934668986825,4.21783104899805,9.108845840615686,0.08668960197246633,340.97253131866455,341.1073970794678,3.1449658639451483,0.0030390855651431575,0.0030390855651466517,3.4941667614862837e-15
4000.0,0.769360000000006,numpy,numba,13.228668160008965,4.272120018984424,9.11257406452205,0.08618874903186224,340.89237689971924,341.2641906738281,3.0965113576452628,0.0033822616869348177,0.0033822616869371167,2.2989422865382636e-15
4500.0,0.597070000000002,numpy,numba,13.241814958979376,4.183426183997653,9.136618096701568,0.08761305498774163,341.09918308258057,341.127724647522,3.1653038386649834,0.004148827256165613,0.004148827256179015,1.3402473575396812e-14
5000.0,0.484960000000001,numpy,numba,13.798393654986285,4.199234594008885,9.687336229922948,0.0872249060194008,340.9330949783325,341.0518321990967,3.2859306490455835,0.006083344850860691,0.006083344850862536,1.8448784167013343e-15
