energy_ev,baseline_actual_backend,numba_actual_backend,baseline_total_s,numba_total_s,baseline_fourier_s,numba_fourier_s,baseline_peak_mb,numba_peak_mb,speedup_baseline_over_numba,baseline_eff_order_m1,numba_eff_order_m1,eff_delta_order_m1
100.0,baseline,numba-optional,2.094385342003079,0.7511232850083616,1.5780646740167867,0.006406632994185202,303.0984115600586,303.09710693359375,2.7883376588169067,0.12542247000603343,0.12542247000667456,6.411260411454123e-13
222.22222222222223,baseline,numba-optional,1.987627213995438,0.5101262050011428,1.4848977970395936,0.005891542052268051,303.09691619873047,303.09690856933594,3.896344070367813,0.14220047556606746,0.14220047556987606,3.808592330400984e-12
344.44444444444446,baseline,numba-optional,2.005449393996969,0.5158173460076796,1.4767759539972758,0.005884842001250945,303.0969009399414,303.0968933105469,3.8879060766737212,0.1056798328681629,0.10567983287178558,3.6226716071396936e-12
466.6666666666667,baseline,numba-optional,1.993208791987854,0.5110871219949331,1.4787419669155497,0.005987860989989713,303.09688568115234,303.0968704223633,3.899939376691269,0.027101358122095843,0.02710135812230888,2.1303792063775973e-13
588.8888888888889,baseline,numba-optional,1.9779864519950934,0.509613754999009,1.4735221530718263,0.005892216940992512,303.09686279296875,303.0968551635742,3.881344317323107,0.0042879511712928245,0.004287951171271868,-2.0956326951537818e-14
711.1111111111111,baseline,numba-optional,1.9786107039981289,0.5041319540032418,1.473982215175056,0.0058605989324860275,303.0968475341797,303.09683990478516,3.924787326584352,0.05474662141777602,0.05474662141744002,-3.359951206149958e-13
833.3333333333334,baseline,numba-optional,1.9823171830066713,0.5103205900086323,1.474951516080182,0.005896222981391475,303.0968322753906,303.0968246459961,3.884454638550131,0.07633427546101851,0.07633427546098215,-3.6359804056473877e-14
955.5555555555557,baseline,numba-optional,1.9784554279904114,0.5126817080017645,1.477227612180286,0.005898927091038786,303.09681701660156,303.0968017578125,3.859032606608235,0.03960012464563178,0.03960012464566034,2.856048730848215e-14
1077.7777777777778,baseline,numba-optional,1.9683077379886527,0.5082774120091926,1.4777054010046413,0.005877864939975552,303.09679412841797,303.09678649902344,3.8725068072729036,0.004641254674911957,0.004641254674927004,1.5046991430622825e-14
1200.0,baseline,numba-optional,1.9734704669972416,0.504255881998688,1.4756136129435617,0.005943473821389489,303.0967788696289,303.0967712402344,3.9136290471716824,0.00288326546809883,0.0028832654680951615,-3.668506470821953e-15
