energy_ev,grazing_angle_deg,baseline_actual_backend,numba_actual_backend,baseline_total_s,numba_total_s,baseline_fourier_s,numba_fourier_s,baseline_peak_mb,numba_peak_mb,speedup_baseline_over_numba,baseline_eff_order_m1,numba_eff_order_m1,eff_delta_order_m1
500.0,14.17636,baseline,numba-optional,14.407047257001977,4.55412203000742,9.949250948411645,0.09056776693614665,341.48370838165283,355.047607421875,3.163518052892075,7.274975570192543e-05,7.274975570204774e-05,1.2231155758352097e-16
1000.0,6.48506999999999,baseline,numba-optional,13.877764491000562,4.222199430994806,9.69230165850604,0.08701857220148668,340.99156951904297,341.112343788147,3.2868567005918945,0.001769148783609879,0.001769148783608891,-9.879250195687916e-16
1500.0,3.9131,baseline,numba-optional,13.233476437002537,4.3075504479929805,9.069063408023794,0.08638697314017918,340.8905715942383,341.39434719085693,3.072158201459583,0.0016112745880328206,0.0016112745880337137,8.931657496935586e-16
2000.0,2.62954000000001,baseline,numba-optional,13.864138630000525,4.170236293997732,9.673793366280734,0.08729472089908086,341.0781774520874,341.1042957305908,3.324545098309018,0.001818702449621253,0.0018187024496217994,5.464378949326942e-16
2500.0,1.86779,baseline,numba-optional,13.885625769995386,4.203862113994546,9.665658119833097,0.08716972004913259,340.926344871521,341.04580783843994,3.303064038130676,0.0023277900903342667,0.002327790090336246,1.979319486089537e-15
3000.0,1.36627,baseline,numba-optional,13.966537503991276,4.234286099002929,9.785511196911102,0.08698688077856787,341.45295810699463,341.1834545135498,3.2984397316185254,0.002238700880091834,0.002238700880094579,2.744766219864303e-15
3500.0,1.01862,baseline,numba-optional,13.218019159001415,4.192240098011098,9.071111596946139,0.08627210221311543,340.956995010376,341.0604295730591,3.1529728379041004,0.0030390855651431575,0.0030390855651466517,3.4941667614862837e-15
4000.0,0.769360000000006,baseline,numba-optional,13.283482621001895,4.230272501998115,9.121071048401063,0.08632370890700258,341.03943252563477,341.2817506790161,3.1401009307858088,0.0033822616869348177,0.0033822616869371167,2.2989422865382636e-15
4500.0,0.597070000000002,baseline,numba-optional,13.831677490001312,4.216251039993949,9.682555036924896,0.08689293907082174,340.963490486145,341.0992307662964,3.28056307814659,0.004148827256165613,0.004148827256179015,1.3402473575396812e-14
5000.0,0.484960000000001,baseline,numba-optional,13.806919605005533,4.288017668004613,9.655807925199042,0.08704043117177207,340.889253616333,341.2300395965576,3.2198840289364865,0.006083344850860691,0.006083344850862536,1.8448784167013343e-15
