energy_ev,numpy_actual_backend,numba_actual_backend,numpy_total_s,numba_total_s,numpy_fourier_s,numba_fourier_s,numpy_peak_mb,numba_peak_mb,speedup_numpy_over_numba,numpy_eff_order_m1,numba_eff_order_m1,eff_delta_order_m1
100.0,numpy,numba,1.5718007481191307,0.7416775121819228,1.0299253019038588,0.2245451973285526,41.86650371551514,54.772583961486816,2.119250917417044,0.12542247000603343,0.12542247000667456,6.411260411454123e-13
222.22222222222223,numpy,numba,1.4772712260019034,0.5102911179419607,0.9677374754101038,0.004718947224318981,40.887431144714355,40.89543437957764,2.8949577487451483,0.14220047556606746,0.14220047556987606,3.808592330400984e-12
344.44444444444446,numpy,numba,1.4824593390803784,0.5276223379187286,0.9642416604328901,0.004738719202578068,40.87661647796631,40.8950719833374,2.809697832218632,0.1056798328681629,0.10567983287178558,3.6226716071396936e-12
466.6666666666667,numpy,numba,1.4718381471466273,0.522249517031014,0.9616267292294651,0.004698352888226509,40.87634563446045,40.89449596405029,2.8182661719134185,0.027101358122095843,0.02710135812230888,2.1303792063775973e-13
588.8888888888889,numpy,numba,1.4748941930010915,0.5091192529071122,0.9619595047552139,0.0046031184028834105,40.875887870788574,40.89457607269287,2.896952304552079,0.0042879511712928245,0.004287951171271868,-2.0956326951537818e-14
711.1111111111111,numpy,numba,1.4744840480852872,0.5042267590761185,0.9617428737692535,0.004713929491117597,40.87553691864014,40.89417552947998,2.9242479133534003,0.05474662141777602,0.05474662141744002,-3.359951206149958e-13
833.3333333333334,numpy,numba,1.4721908420324326,0.5055970270186663,0.9592533563263714,0.0046502097975462675,40.87548351287842,40.89380168914795,2.9117869832293937,0.07633427546101851,0.07633427546098215,-3.6359804056473877e-14
955.5555555555557,numpy,numba,1.4670326730702072,0.5219808130059391,0.9620226544793695,0.004877146799117327,40.87559795379639,40.89370632171631,2.810510724756305,0.03960012464563178,0.03960012464566034,2.856048730848215e-14
1077.7777777777778,numpy,numba,1.484269310021773,0.4998061608057469,0.9781498592346907,0.004746277118101716,40.87530040740967,40.893561363220215,2.96968990464014,0.004641254674911957,0.004641254674927004,1.5046991430622825e-14
1200.0,numpy,numba,1.4580507609061897,0.49773614504374564,0.9632885970640928,0.004743340890854597,40.875155448913574,40.89422130584717,2.9293648360177715,0.00288326546809883,0.0028832654680951615,-3.668506470821953e-15
