energy_ev,grazing_angle_deg,efficiency_order_1
50.0,4.0,0.04292702922195504
60.0,4.0,0.05790363257250435
70.0,4.0,0.07297564386130563
80.0,4.0,0.09033607382884476
90.0,4.0,0.1088025054572368
100.0,4.0,0.1270962848492361
110.0,4.0,0.14483260927202848
120.0,4.0,0.16149475969812635
130.0,4.0,0.1759105322519539
140.0,4.0,0.18698788629458737
150.0,4.0,0.19184252201367682
160.0,4.0,0.1945576432466688
170.0,4.0,0.1909966948246505
180.0,4.0,0.18738005437017866
190.0,4.0,0.18930690428023705
200.0,4.0,0.19046910507343762
210.0,4.0,0.18852416514687234
220.0,4.0,0.18281642845436694
230.0,4.0,0.17803019034945464
240.0,4.0,0.17574943701441506
250.0,4.0,0.1726041852980955
260.0,4.0,0.16693669028343547
270.0,4.0,0.16016766473286667
280.0,4.0,0.1395971499440325
290.0,4.0,0.1144469099347171
300.0,4.0,0.12103435049192458
310.0,4.0,0.12054998299639706
320.0,4.0,0.11862048001945778
330.0,4.0,0.11538198679436291
340.0,4.0,0.11036167523058671
350.0,4.0,0.10436309789486169
360.0,4.0,0.09832918274839958
370.0,4.0,0.0910772023087383
380.0,4.0,0.08346489413645514
390.0,4.0,0.07447224894059082
400.0,4.0,0.06673752538946949
410.0,4.0,0.05902431865949216
420.0,4.0,0.05113807266464792
430.0,4.0,0.04361326168420664
440.0,4.0,0.036597821255483616
450.0,4.0,0.030040433792099037
460.0,4.0,0.023967869543246232
470.0,4.0,0.018539392767003622
480.0,4.0,0.013779391538380046
490.0,4.0,0.009631986964288738
500.0,4.0,0.00622218460066237
510.0,4.0,0.003595915508715511
520.0,4.0,0.0018038490344328847
530.0,4.0,0.0008879903546279451
540.0,4.0,0.0007134184792496957
550.0,4.0,0.0012995269759135137
560.0,4.0,0.002652473298725838
570.0,4.0,0.004663978553511323
580.0,4.0,0.007315914529371292
590.0,4.0,0.010092053650525864
600.0,4.0,0.01344161098931327
610.0,4.0,0.017198781868100727
620.0,4.0,0.021544225267240983
630.0,4.0,0.02609139491592188
640.0,4.0,0.030947986552398794
650.0,4.0,0.035976288240307956
660.0,4.0,0.01348631760432167
670.0,4.0,0.016568857974254444
680.0,4.0,0.019857701117779975
690.0,4.0,0.023250804232472323
700.0,4.0,0.026648418405280597
710.0,4.0,0.030126643316308627
720.0,4.0,0.033410903265987626
730.0,4.0,0.03681905028813038
740.0,4.0,0.04029128709682149
750.0,4.0,0.04358170150347714
760.0,4.0,0.04664571120496434
770.0,4.0,0.049378116067477426
780.0,4.0,0.051714959071119095
790.0,4.0,0.053532866509803594
800.0,4.0,0.05479247623050581
810.0,4.0,0.05531163235497334
820.0,4.0,0.055851074866027736
830.0,4.0,0.05683693722200136
840.0,4.0,0.05735199372042334
850.0,4.0,0.05745534253439533
860.0,4.0,0.05714507939821999
870.0,4.0,0.05645288389906592
880.0,4.0,0.05540813247969872
890.0,4.0,0.05404162368037215
900.0,4.0,0.05238797082381038
910.0,4.0,0.0504859088882867
920.0,4.0,0.04837819593155389
