trial_index,loss,width_to_period_ratio,depth_nm,left_wall_angle_deg,right_wall_angle_deg,top_cap_thickness_nm
0,0.0008346305050075859,0.559841938316822,14.24186440706253,16.240353882312775,7.764706611633301,1.2358881592750548
1,0.00011490380588198542,0.7197277882136405,15.621464194357396,8.110796078108251,17.102548028342426,0.5566408539190888
2,0.0001602575485365234,0.7550492544658483,14.741171039268375,18.500099722296,10.5992944072932,0.8399108720943331
3,0.0013005517173234722,0.5951631176285446,15.120267314463854,11.36572637129575,16.142949406057596,1.9669865101575852
4,0.0014053337982684279,0.6180788500234484,14.457413699105382,5.313917389139533,13.554664757102728,1.6688310614787043
5,0.000308052160697814,0.7769394520670176,15.280968473851681,13.413949492387474,11.583585431799293,0.9668526791967451
6,0.0002691853964366104,0.6669475577771664,13.956155858561397,10.44384740293026,18.205446335487068,0.42959173740819095
7,0.0006806890534138308,0.5080872440710664,15.780214128643275,17.548695080913603,5.05779315251857,1.5337417426519095
8,0.0007756907846437281,0.536083497479558,14.83557770177722,9.07101440243423,11.529952720738947,0.6664949478581548
9,0.0002991344112690576,0.6761949567124248,14.902800544723869,17.171039353124797,13.368425308726728,1.3457483392208816
10,0.00030439837660915087,0.701106083996488,15.9,19.999834079532057,18.63050851291927,0.3577021111373433
11,6.504923322276587e-05,0.7119869208419739,14.048538333711816,14.739870371369665,5.221134209908855,0.6701791637105408
12,8.215703619525273e-05,0.7210361493905364,13.9,15.819532206065086,20.0,0.8827791258515058
13,0.00011667451034366486,0.7198005033952192,13.9,20.0,5.0,1.1280191468420646
14,0.0002161101884016927,0.7018200897356702,13.9,5.0,5.0,0.3
15,0.00021785725612891364,0.7172698141286855,15.9,14.925992226352715,5.0,0.823562016401992
16,0.00013643040982988525,0.6917558155064161,13.9,19.602454712239044,20.0,0.3
17,0.00013788274752074293,0.7069109116072239,13.9,10.87921869602612,19.42055041304736,0.3
18,4.4022703159824474e-06,0.7152625453523089,14.583894366337104,15.266155738675195,20.0,0.6987918743305293
19,3.073717011236386e-06,0.7251252862466292,14.725038447795153,10.99163847647662,20.0,0.8572725775652538
