parameter,value,efficiency,error,energy_ev,grazing_angle_deg
z_resolution,0.001,0.04398434490629435,False,250,1.789475865350994
z_resolution,0.005,0.04398243284877665,False,250,1.789475865350994
z_resolution,0.01,0.043979915925334234,False,250,1.789475865350994
z_resolution,0.05,0.04400366227197563,False,250,1.789475865350994
z_resolution,0.1,0.04394383418861938,False,250,1.789475865350994
z_resolution,0.5,0.04427794252441986,False,250,1.789475865350994
z_resolution,1.0,0.04362941934086789,False,250,1.789475865350994
z_resolution,5.0,0.041455322975126586,False,250,1.789475865350994
z_resolution,10.0,0.04068136628959738,False,250,1.789475865350994
