trial_index,loss,width_to_period_ratio,depth_nm,left_wall_angle_deg,right_wall_angle_deg,top_cap_thickness_nm
0,0.0006720859716705465,0.559841938316822,14.670932203531265,23.733923137187958,9.607844352722168,0.8505224466323853
1,6.849447313891262e-05,0.7197277882136405,15.360732097178698,10.184660130180418,25.17091338057071,0.4509652081876993
2,0.00019653360227694716,0.7550492544658483,14.920585519634187,27.500166203826666,14.332157345488667,0.6175946306437254
3,0.0009914391311289588,0.5951631176285446,15.110133657231927,15.609543952159584,23.571582343429327,1.2805803000926972
4,0.0011639108439858803,0.6180788500234484,14.778706849552691,5.523195648565888,19.257774595171213,1.1051947420462966
5,0.0003979154730118207,0.7769394520670176,15.19048423692584,19.023249153979123,15.972642386332154,0.6922662818804384
6,0.00015295890249250534,0.6669475577771664,14.528077929280698,14.073079004883766,27.00907722581178,0.3762304337695241
7,0.00039268133904444104,0.5080872440710664,15.440107064321637,25.914491801522672,5.096321920864284,1.0257304368540645
8,0.0007200070851084874,0.536083497479558,14.96778885088861,11.78502400405705,15.883254534564912,0.5155852634459734
9,0.00016374084824418312,0.6761949567124248,15.001400272361934,25.28506558854133,18.947375514544547,0.9151460818946362
10,1.8733151072356287e-05,0.6993487340850567,14.86796260971972,26.74922458388011,26.374822887181935,0.3
11,2.99101496441392e-06,0.7029613357777967,14.5,21.378070883194592,5.0,0.38115468616675957
12,0.00014304656657107505,0.7001989257137305,15.5,25.835097227118847,5.0,0.5213893104725439
13,8.03210468587935e-06,0.7072013999895148,14.5,17.963654219030865,30.0,0.38634923369970464
14,1.0280339997878465e-05,0.7024564879316049,14.5,30.0,30.0,0.6809028990637743
15,0.0002608025204977182,0.6899832308529728,14.5,5.0,30.0,0.3
16,1.4190477596155728e-05,0.698254646810412,14.642493211379511,22.48379004715618,30.0,0.4002355707307346
17,9.287226624976453e-06,0.7079827375515146,14.5,20.919906026014495,18.586885706556824,0.46409783034739127
18,1.0243605462127014e-05,0.7022484676854013,14.5,30.0,17.123662674768273,0.3
19,5.051268415251962e-06,0.7035073177638834,14.5,15.643776210353689,5.0,0.3
