parameter,value,efficiency,error,energy_ev,grazing_angle_deg
x_resolution_nm,10.0,0.2534385075683641,False,600.0,1.5
x_resolution_nm,5.99484250318941,0.2533799337470216,False,600.0,1.5
x_resolution_nm,3.5938136638046276,0.25331672657864557,False,600.0,1.5
x_resolution_nm,2.154434690031884,0.2532857345776253,False,600.0,1.5
x_resolution_nm,1.291549665014884,0.2532711164043865,False,600.0,1.5
x_resolution_nm,0.774263682681127,0.25324985029969055,False,600.0,1.5
x_resolution_nm,0.464158883361278,0.253242396861854,False,600.0,1.5
x_resolution_nm,0.2782559402207126,0.2532380914589748,False,600.0,1.5
x_resolution_nm,0.1668100537200059,0.2532342732530701,False,600.0,1.5
x_resolution_nm,0.1,0.25323376951708626,False,600.0,1.5
