parameter,value,efficiency,error,error_message,energy_ev,grazing_angle_deg
z_resolution_nm,10.0,0.1629909664294295,False,,600.0,1.5
z_resolution_nm,5.99484250318941,0.20561433373648946,False,,600.0,1.5
z_resolution_nm,3.5938136638046276,0.23777804263657037,False,,600.0,1.5
z_resolution_nm,2.154434690031884,0.2445508030306056,False,,600.0,1.5
z_resolution_nm,1.291549665014884,0.24910723906796586,False,,600.0,1.5
z_resolution_nm,0.774263682681127,0.2505075804466383,False,,600.0,1.5
z_resolution_nm,0.464158883361278,0.2509749997751312,False,,600.0,1.5
z_resolution_nm,0.2782559402207126,0.2512563472856678,False,,600.0,1.5
z_resolution_nm,0.1668100537200059,0.2514206116291102,False,,600.0,1.5
z_resolution_nm,0.1,0.2513846696379768,False,,600.0,1.5
