parameter,value,efficiency,error,error_message,energy_ev,grazing_angle_deg
fourier_orders,5,0.11275393241386837,False,,2000.0,1.5
fourier_orders,7,0.11271366302068485,False,,2000.0,1.5
fourier_orders,9,0.11270047121991043,False,,2000.0,1.5
fourier_orders,11,0.11270386943853263,False,,2000.0,1.5
fourier_orders,13,0.11270322908546247,False,,2000.0,1.5
fourier_orders,15,0.11270081916614491,False,,2000.0,1.5
fourier_orders,17,0.11269952885324978,False,,2000.0,1.5
fourier_orders,19,0.11269945796295498,False,,2000.0,1.5
fourier_orders,21,0.11269931429811478,False,,2000.0,1.5
fourier_orders,23,0.11269874429300046,False,,2000.0,1.5
fourier_orders,25,0.112698194865141,False,,2000.0,1.5
