parameter,value,efficiency,error,error_message,energy_ev,grazing_angle_deg
x_resolution_nm,10.0,0.05124367429813818,False,,100.0,1.5
x_resolution_nm,5.99484250318941,0.050993581159417656,False,,100.0,1.5
x_resolution_nm,3.5938136638046276,0.05084311781537553,False,,100.0,1.5
x_resolution_nm,2.154434690031884,0.050754363664484645,False,,100.0,1.5
x_resolution_nm,1.291549665014884,0.05070147847776109,False,,100.0,1.5
x_resolution_nm,0.774263682681127,0.050667610033008376,False,,100.0,1.5
x_resolution_nm,0.464158883361278,0.0506498774144599,False,,100.0,1.5
x_resolution_nm,0.2782559402207126,0.05063838581842061,False,,100.0,1.5
x_resolution_nm,0.1668100537200059,0.050631305453706164,False,,100.0,1.5
x_resolution_nm,0.1,0.05062748547519894,False,,100.0,1.5
