parameter,value,efficiency,error,error_message,energy_ev,grazing_angle_deg
fourier_orders,5,0.05046435651040239,False,,100.0,1.5
fourier_orders,7,0.05142250492569445,False,,100.0,1.5
fourier_orders,9,0.05175267096907875,False,,100.0,1.5
fourier_orders,11,0.051910270157257375,False,,100.0,1.5
fourier_orders,13,0.05203352809133029,False,,100.0,1.5
fourier_orders,15,0.052132647590110645,False,,100.0,1.5
fourier_orders,17,0.052205497809560616,False,,100.0,1.5
fourier_orders,19,0.05225518646480622,False,,100.0,1.5
fourier_orders,21,0.05228805954081444,False,,100.0,1.5
fourier_orders,23,0.052310109925101204,False,,100.0,1.5
fourier_orders,25,0.05232559538861387,False,,100.0,1.5
