energy_ev,grazing_angle_deg,fourier_orders,x_resolution_nm,z_resolution_nm,total_wall_seconds,profiled_exclusive_seconds,peak_memory_bytes,selected_efficiency
500.0,14.17636,5,0.05,0.05,25.85820987005718,25.239596570841968,19965926,0.00915645610640025
500.0,14.17636,5,0.05,0.1,13.107036820845678,12.662606320809573,10661635,0.009147545733165405
500.0,14.17636,5,0.05,1.0,1.8961560239549726,1.546137322904542,4112007,0.007929863804371716
500.0,14.17636,5,0.1,0.05,23.475430434104055,22.880599857773632,13469720,0.00915650556222405
500.0,14.17636,5,0.1,0.1,12.003435894148424,11.558173034805804,7936240,0.009147537322667125
500.0,14.17636,5,0.1,1.0,1.692058723187074,1.3753619769122452,4112759,0.007930769965703731
500.0,14.17636,5,1.0,0.05,20.116931759985164,19.49026481807232,5528956,0.009155089700389429
500.0,14.17636,5,1.0,0.1,10.099671699805185,9.65887191798538,4112636,0.009145262822185744
500.0,14.17636,5,1.0,1.0,1.4139306009747088,1.0982357668690383,4112695,0.007964856131214622
500.0,14.17636,10,0.05,0.05,29.690669061150402,29.08141050930135,36672019,0.009156459028270602
500.0,14.17636,10,0.05,0.1,15.079880895093083,14.624338886933401,19447437,0.009147553911209732
500.0,14.17636,10,0.05,1.0,2.2143939009401947,1.859062921255827,4768842,0.007928118715982856
500.0,14.17636,10,0.1,0.05,26.05905149690807,25.459232652792707,25518103,0.009156508134252
500.0,14.17636,10,0.1,0.1,13.222847725031897,12.774951907107607,13509977,0.00914754616210753
500.0,14.17636,10,0.1,1.0,1.9704034479800612,1.6539067071862519,4113879,0.007929027979057954
500.0,14.17636,10,1.0,0.05,20.910130218835548,20.323986120987684,8288240,0.009155087766869888
500.0,14.17636,10,1.0,0.1,10.562474532052875,10.09857226186432,4774138,0.00914526703056692
500.0,14.17636,10,1.0,1.0,1.4797759370412678,1.163048637099564,4113879,0.007963153135168544
500.0,14.17636,15,0.05,0.05,33.763583385851234,33.15171731915325,64271665,0.009156324967553652
500.0,14.17636,15,0.05,0.1,17.103626261930913,16.649130422854796,33411001,0.0091474226836942
500.0,14.17636,15,0.05,1.0,2.5705362979788333,2.2114935049321502,7670347,0.007927864638675586
500.0,14.17636,15,0.1,0.05,29.188130429945886,28.58408945519477,44931643,0.009156374213735701
500.0,14.17636,15,0.1,0.1,14.681576899020001,14.229150322033092,23579284,0.009147415127707758
500.0,14.17636,15,0.1,1.0,2.352479506051168,1.9934630410280079,6734056,0.007928774566769853
500.0,14.17636,15,1.0,0.05,21.900317933177575,21.31869769282639,13994854,0.009154956136469015
500.0,14.17636,15,1.0,0.1,11.4063928630203,10.924546070862561,7948508,0.009145135824155656
500.0,14.17636,15,1.0,1.0,1.6706520051229745,1.3152119698934257,4111639,0.007962895231104775
