z_resolution_nm,rcwa_staircase,neviere_staircase,neviere_continuous
2.000000000000000000e+00,7.918595136399533829e-02,7.918595136460478134e-02,8.189920658716579038e-02
1.000000000000000000e+00,8.202473757066647275e-02,8.202473757088624140e-02,8.189920658716579038e-02
5.000000000000000000e-01,8.201060384585046048e-02,8.201060384620474653e-02,8.189920658716579038e-02
2.500000000000000000e-01,8.195044141743743071e-02,8.195044141783855429e-02,8.189920658716579038e-02
1.000000000000000056e-01,8.191273910748245179e-02,8.191273910806842751e-02,8.189920658716579038e-02
5.000000000000000278e-02,8.191171616801480593e-02,8.191171616822133517e-02,8.189920658716579038e-02
