trial_index,loss,width_to_period_ratio,depth_nm,left_wall_angle_deg,top_cap_thickness_nm,loss_alpha4deg_order1,loss_alpha2deg_order1,loss_alpha4deg_order2,loss_cff2p25_order1_p
0,8.428833553511189e-05,0.5898946255445481,14.24186440706253,15.493569254875183,0.6133334159851074,9.502198473431817e-05,7.506528495116062e-05,3.3555971959922974e-05,0.0001335101004950458
1,5.676158824880428e-05,0.6932399328798056,15.025467954203487,10.29318012483418,1.362469544634223,0.00010582485387175643,2.2549521104091258e-05,6.335375894000195e-05,3.53182190793675e-05
2,0.00020329930875776292,0.7299158118665219,14.743462269753218,16.24407364241779,1.0935385241173208,0.0005064508957181361,4.536714974989685e-05,0.00020973323190844056,5.164595765457808e-05
3,9.972163191852623e-05,0.6265706015750766,15.52682929635048,11.376018181443214,1.626013820618391,0.0002494318238761718,8.027115885606787e-05,2.252017547601971e-06,6.693152739426327e-05
4,4.877802167744106e-05,0.6195118639618159,14.630942705646158,8.725549310445786,1.7893493670970202,0.00014690130766806475,2.490972773497529e-05,7.818769233302905e-06,1.548228207342128e-05
5,0.00020821555731387627,0.7224176691845059,15.69891643486917,13.935627846047282,0.8351596149615943,0.0005692222671006278,2.941162732843868e-05,0.0001654027321947991,6.882560263163949e-05
6,4.986870815241866e-05,0.6606563350185752,14.132273567467928,12.933387460187078,1.5224720999598502,0.00012906710066784102,3.113457821114733e-05,6.7487508908219e-06,3.252440283986438e-05
7,0.00014415102093606996,0.5577504336833954,15.20048381537199,17.811132233589888,0.35828627413138747,0.00010634804896062573,0.00021194087817927245,3.774486773764684e-05,0.00022057028886673485
8,4.934211879065827e-05,0.6394430302634181,13.958073669858468,10.83476889932179,1.1003537533353396,0.00012575851910558465,2.7523455957230184e-05,1.3162121111813934e-06,4.277028798863685e-05
9,4.225028873717065e-05,0.6588815471748353,14.397050640134152,10.628106879791062,2.0,7.802886783450782e-05,5.269669824839826e-05,8.033880782828443e-06,3.0241708082948087e-05
10,0.00022117457110471545,0.5519060992946453,13.9,13.004501222690555,2.0,0.00039943709081113394,0.0001609174383742091,4.400891808962036e-05,0.0002803348371438984
11,1.45907043588367e-05,0.6585950579449702,14.635948863134912,8.68840993773081,1.439278043321634,1.7947523623934342e-05,2.2669808917176033e-05,3.003108835854732e-06,1.474237605838169e-05
12,3.5000266819133913e-06,0.6445370137365811,14.672011952023496,9.845758832029972,0.9831344379384843,5.820738976927472e-06,5.566440760380016e-06,1.8942989579827547e-07,2.423497094547802e-06
13,1.1203228445762803e-05,0.6480737338247572,14.631516511438235,9.665415725258311,0.3,2.1874731817897657e-05,1.0697037552931697e-05,1.7377802324786936e-07,1.2067366388973981e-05
14,1.5567455416324382e-06,0.6478654925996724,14.601613399783568,10.934207785449264,0.7912128519832362,1.911889934415954e-06,2.5804293772223682e-06,2.338052025078283e-07,1.5008576523836026e-06
15,1.3140290747331373e-06,0.6411703893342448,14.681669037833364,11.195976298894168,0.6799766055159939,1.6243136739027595e-06,1.9859493330752123e-06,2.0183353590003843e-07,1.4440197560545395e-06
16,4.0391524517297e-06,0.648042336028309,14.715563245903637,10.932935832885727,0.7826499883103444,6.558541925678752e-06,6.25414015304716e-06,1.0731891390968179e-07,3.2366088142832034e-06
17,1.5819990320454138e-06,0.6388680394022379,14.587763590844393,10.969853864572762,0.6962113248035501,2.232304148209877e-06,1.778072922635918e-06,5.543985098306201e-07,1.7632205475052395e-06
18,1.275779462117633e-06,0.6426822269702104,14.613563507503734,10.758624756262979,0.8005476343743531,1.5051864247402988e-06,2.1218523527574803e-06,1.0207884168971692e-07,1.3740002292830358e-06
19,1.0072913591697225e-05,0.6418660579397673,14.551896666588922,11.612193575444989,0.574969093094867,1.8638849372230366e-05,7.832077148289687e-06,6.271643457547924e-07,1.3193563500514058e-05
