trial_index,loss,width_to_period_ratio,depth_nm,left_wall_angle_deg,right_wall_angle_deg,top_cap_thickness_nm
0,0.0007394972866464106,0.559841938316822,14.670932203531265,21.240353882312775,12.7647066116333,0.8505224466323853
1,6.756983165905291e-05,0.7197277882136405,15.360732097178698,13.110796078108251,22.102548028342426,0.4509652081876993
2,0.0001876920625875875,0.7550492544658483,14.920585519634187,23.500099722296,15.5992944072932,0.6175946306437254
3,0.0009762452052415115,0.5951631176285446,15.110133657231927,16.36572637129575,21.142949406057596,1.2805803000926972
4,0.0007945134199884039,0.6180788500234484,14.778706849552691,10.313917389139533,18.554664757102728,1.1051947420462966
5,0.00039475695288348513,0.7769394520670176,15.19048423692584,18.413949492387474,16.583585431799293,0.6922662818804384
6,0.00014316516471031966,0.6669475577771664,14.528077929280698,15.44384740293026,23.205446335487068,0.3762304337695241
7,0.000666269805693094,0.5080872440710664,15.440107064321637,22.548695080913603,10.05779315251857,1.0257304368540645
8,0.0006945726037081245,0.536083497479558,14.96778885088861,14.07101440243423,16.529952720738947,0.5155852634459734
9,0.00017158178133532415,0.6761949567124248,15.001400272361934,22.171039353124797,18.368425308726728,0.9151460818946362
10,1.0129856967169376e-05,0.705079508625908,14.5,25.0,15.977768760787496,0.3122403209587899
11,7.509719999251316e-06,0.7112477478211363,14.5,25.0,25.0,0.6399848447883598
12,7.28630107449557e-06,0.7076698324104339,14.5,25.0,10.0,0.6229212339993729
13,0.00012010097867612538,0.7050349036442239,15.5,25.0,21.030870360153422,0.43943310929585516
14,6.473175336177864e-05,0.7056224563768941,14.5,10.0,19.81375105468879,0.9594055903504732
15,1.170291228640815e-05,0.7085440514591895,14.802371565212738,15.931419030386845,21.583061515204804,0.49015041113818997
16,1.145696209629357e-05,0.710601405906896,14.5,14.982059802743136,16.86551914672958,0.3
17,1.0190943403232061e-05,0.7067079364347293,14.5,20.929776500681385,24.34635404215713,0.47384705626607715
18,2.93545306310191e-05,0.7195613151315919,14.953169659831586,25.0,12.494967925699317,1.3
19,1.030565379845825e-05,0.7235086934031141,14.5,25.0,10.0,1.3
20,4.740854262257353e-06,0.7146679760614963,14.629197055824852,21.62813844998569,10.0,0.432536565452498
21,2.8104210672823607e-06,0.716876247859181,14.547019113158475,25.0,10.0,0.785564564929647
22,5.181945554879569e-06,0.7069055043373268,14.683505557552843,17.446229497978866,10.0,0.3
23,2.204296350973777e-06,0.7180367163602807,14.622088959421957,20.271050903124483,10.0,0.7443645198394965
24,2.7059510029676906e-06,0.7157575210126588,14.615238970416952,21.983107043374698,10.0,0.7031090213797379
25,4.935537579969146e-06,0.7164768568322282,14.51518354760118,22.864093651256784,10.0,0.6849967274985558
26,2.044498360767587e-06,0.716712348551507,14.626742116972965,25.0,10.0,0.8252194228930319
27,6.115569005841306e-06,0.7170584948756455,14.767148459467055,10.0,10.0,0.3
28,1.917458999281846e-06,0.7153379065190472,14.666103532076955,20.465377593470944,10.0,0.6160285299573106
29,3.6169164162708014e-06,0.7195726950680981,14.625374375078254,25.0,25.0,0.9400396878760964
30,2.8750578759466436e-06,0.7193867862923107,14.626242210953377,25.0,10.0,0.8804846952473939
31,6.335666932625652e-06,0.7139769313191401,14.725845608979109,16.474062632288952,25.0,0.3
32,2.0694316530626576e-06,0.7176823090514121,14.65086373339107,21.47302752484889,10.0,0.7680947414925695
33,7.139343777757261e-06,0.7350199058320508,14.724356238839812,10.0,10.0,1.3
34,2.900648032561035e-06,0.7271668044684834,14.731584270514436,10.0,10.0,0.855531747543054
35,2.6962312468740742e-06,0.7229065462587002,14.684558076589443,17.477453937642014,10.0,0.8779086953428912
36,4.0547822921212507e-05,0.723985123842122,14.587576613852312,25.0,23.0045222429212,0.3
37,1.3903525774161392e-05,0.7360194135919919,14.5,10.0,10.0,1.214130126320796
38,2.9628526967614267e-06,0.7277760627882045,14.726230337354309,10.0,25.0,0.9433471515413864
39,4.976919341292139e-06,0.7262206550267506,14.721795434558446,10.0,10.0,0.9513437084302383
40,1.8863033886424227e-06,0.7133434454147134,14.647766063723676,25.0,10.0,0.6701149861429178
41,0.0006545673278337494,0.8,14.5,10.0,25.0,1.3
42,1.914859375726771e-06,0.7182297645633505,14.679561931376707,17.526841306390654,10.0,0.6685461188588955
43,4.728712841133096e-06,0.7257451936201429,14.679492450975493,16.22602551950669,25.0,0.9836179023430236
44,1.7910175705768854e-06,0.7155177642812152,14.646524165478981,22.534389954459346,10.0,0.7348973856066017
45,0.0005551637175453225,0.5,14.5,10.0,25.0,0.3
46,3.3454667858121535e-06,0.7302605949208761,14.762512711255848,10.0,10.0,0.8897786457334234
47,2.2077215530083376e-06,0.726243297504436,14.733677491673214,10.0,25.0,0.7476162389330984
48,2.5097982311760568e-06,0.7149033737734212,14.62394224205715,25.0,10.0,0.8031599936368498
49,2.5905230595317204e-05,0.7148384878701083,14.78998459302322,10.0,25.0,0.8888441955544574
50,0.0006738548169821743,0.8,15.5,25.0,10.0,1.3
51,2.373855580333623e-06,0.7242395549569917,14.701195287714699,10.0,10.0,0.6707130158105339
52,1.910189802709032e-05,0.7317284106202432,14.687534521619934,25.0,25.0,1.3
53,2.5097707094814193e-06,0.7278284921614245,14.67210017122651,10.0,25.0,0.7998525709294837
54,2.836147420313495e-06,0.7307573403037207,14.74644619068924,10.0,25.0,0.9160757108687982
55,9.417888174672882e-05,0.7481810223875766,15.5,10.0,25.0,1.3
56,2.1217577905773785e-06,0.7273891121521223,14.703578688749559,10.0,10.0,0.7889377050637282
57,2.4348500061613266e-06,0.7200150399246891,14.708105998568024,15.063447641224764,10.0,0.6292023178142296
58,2.137923057695105e-06,0.7263273028888695,14.752824516261805,10.0,10.0,0.6643931325681217
59,2.09418811629121e-06,0.7135491659116994,14.650849919965093,22.42984104886937,10.0,0.6172280231866342
