case,rcwa_seconds_per_point,neviere_seconds_per_point,speedup,max_abs_deviation
laminar 400 l/mm,1.278882,0.427940,2.9885,1.348083e-11
blazed 600 l/mm,0.887363,0.363466,2.4414,5.589584e-12
blazed 2400 l/mm multilayer,5.598349,2.182976,2.5645,6.027401e-13
