parameter,value,efficiency,error,energy_ev,grazing_angle_deg
fourier_orders,5,0.24368603479836037,False,600.0,1.4150115577924396
fourier_orders,7,0.24438077068365205,False,600.0,1.4150115577924396
fourier_orders,9,0.244499044926053,False,600.0,1.4150115577924396
fourier_orders,11,0.24455654172175945,False,600.0,1.4150115577924396
fourier_orders,13,0.24458078850205087,False,600.0,1.4150115577924396
fourier_orders,15,0.24459137657057042,False,600.0,1.4150115577924396
fourier_orders,17,0.2445984838260648,False,600.0,1.4150115577924396
fourier_orders,19,nan,False,600.0,1.4150115577924396
fourier_orders,21,nan,False,600.0,1.4150115577924396
fourier_orders,23,nan,False,600.0,1.4150115577924396
fourier_orders,25,nan,False,600.0,1.4150115577924396
fourier_orders,27,nan,False,600.0,1.4150115577924396
fourier_orders,29,nan,False,600.0,1.4150115577924396
fourier_orders,31,nan,False,600.0,1.4150115577924396
fourier_orders,33,nan,False,600.0,1.4150115577924396
fourier_orders,35,nan,False,600.0,1.4150115577924396
fourier_orders,37,nan,False,600.0,1.4150115577924396
fourier_orders,39,nan,False,600.0,1.4150115577924396
