parameter,value,efficiency,error,energy_ev,grazing_angle_deg
z_resolution,0.01,0.24465012673211878,False,600.0,1.4150115577924396
z_resolution,1.12,0.24286597587827732,False,600.0,1.4150115577924396
z_resolution,2.23,0.23801467485838723,False,600.0,1.4150115577924396
z_resolution,3.34,0.23191738658721506,False,600.0,1.4150115577924396
z_resolution,4.45,0.2211988245031349,False,600.0,1.4150115577924396
z_resolution,5.5600000000000005,0.2006270898955788,False,600.0,1.4150115577924396
z_resolution,6.67,0.190744997988572,False,600.0,1.4150115577924396
z_resolution,7.78,0.20359741255161798,False,600.0,1.4150115577924396
z_resolution,8.89,0.1748915015183071,False,600.0,1.4150115577924396
z_resolution,10.0,0.16230969875530096,False,600.0,1.4150115577924396
