trial_index,loss,width_to_period_ratio,depth_nm,left_wall_angle_deg,top_cap_thickness_nm
0,0.0008135918844068283,0.559841938316822,14.24186440706253,16.240353882312775,0.6133334159851074
1,0.00011678093951943641,0.7148598993197084,15.025467954203487,8.43977018725127,1.362469544634223
2,0.00024458236717584894,0.7698737177997828,14.743462269753218,17.366110463626683,1.0935385241173208
3,0.001131155201932451,0.6148559023626149,15.52682929635048,10.064027272164822,1.626013820618391
4,0.001199659296977716,0.6042677959427237,14.630942705646158,6.088323965668678,1.7893493670970202
5,0.00023822338849185942,0.758626503776759,15.69891643486917,13.903441769070923,0.8351596149615943
6,0.00043528940050921515,0.6659845025278628,14.132273567467928,12.400081190280616,1.5224720999598502
7,0.0005239548900767254,0.5116256505250931,15.20048381537199,19.71669835038483,0.35828627413138747
8,0.0001006027043381133,0.7193277864853607,13.9,20.0,2.0
9,0.00023377698164013853,0.8,15.9,5.0,2.0
10,0.00012874995771126532,0.707119760167294,13.9,20.0,0.3
11,0.000466939310615543,0.7101018335314893,15.9,20.0,2.0
12,0.00017223513524023312,0.7381753029866581,13.9,6.816608249648873,1.800797154024928
13,0.0002045643995797525,0.7317735809641875,14.839818478131129,5.0,2.0
14,3.037882457503803e-05,0.716518444026963,14.101266065245971,11.750359887995446,0.9791163034504053
15,0.0003137224356373959,0.8,15.9,5.0,0.3
16,0.000960809221249471,0.5,13.9,5.0,2.0
17,8.311919513311606e-05,0.7237958284938073,13.9,14.128380917914034,0.9502774431357099
18,0.0002304396644197308,0.708581942380681,14.090420449906748,5.0,1.1479949482849479
19,7.065008586688768e-05,0.7189166691839592,14.525917441876372,14.415660429608765,2.0
