parameter,value,efficiency,error,energy_ev,grazing_angle_deg
x_resolution,0.01,0.15607184912471914,False,2000.0,0.7752296420774627
x_resolution,0.016378937069540637,0.15607213413801269,False,2000.0,0.7752296420774627
x_resolution,0.02682695795279726,0.15607098047929924,False,2000.0,0.7752296420774627
x_resolution,0.043939705607607904,0.15607016764542195,False,2000.0,0.7752296420774627
x_resolution,0.07196856730011521,0.1560683493597252,False,2000.0,0.7752296420774627
x_resolution,0.11787686347935872,0.15606547541315302,False,2000.0,0.7752296420774627
x_resolution,0.19306977288832497,0.15605927921977866,False,2000.0,0.7752296420774627
x_resolution,0.31622776601683794,0.15605150137039928,False,2000.0,0.7752296420774627
x_resolution,0.517947467923121,0.15603710799249088,False,2000.0,0.7752296420774627
x_resolution,0.8483428982440717,0.15601623063631748,False,2000.0,0.7752296420774627
x_resolution,1.3894954943731375,0.15598517058561012,False,2000.0,0.7752296420774627
x_resolution,2.2758459260747887,0.1559177429383038,False,2000.0,0.7752296420774627
x_resolution,3.727593720314938,0.15582609465374916,False,2000.0,0.7752296420774627
x_resolution,6.105402296585327,0.15568481016694208,False,2000.0,0.7752296420774627
x_resolution,10.0,0.15533411287616014,False,2000.0,0.7752296420774627
