parameter,value,efficiency,error,energy_ev,grazing_angle_deg
z_resolution,0.1,0.24461497723742384,False,600.0,1.4150115577924396
z_resolution,0.12742749857031338,0.24458853573953873,False,600.0,1.4150115577924396
z_resolution,0.16237767391887217,0.24457610632927176,False,600.0,1.4150115577924396
z_resolution,0.20691380811147897,0.2446888247794972,False,600.0,1.4150115577924396
z_resolution,0.26366508987303583,0.2444909089282011,False,600.0,1.4150115577924396
z_resolution,0.33598182862837817,0.2443650570163726,False,600.0,1.4150115577924396
z_resolution,0.42813323987193935,0.24425399266862216,False,600.0,1.4150115577924396
z_resolution,0.5455594781168519,0.24420924607411398,False,600.0,1.4150115577924396
z_resolution,0.6951927961775606,0.2441778634740465,False,600.0,1.4150115577924396
z_resolution,0.8858667904100825,0.24311841761102826,False,600.0,1.4150115577924396
z_resolution,1.1288378916846888,0.24344461918573135,False,600.0,1.4150115577924396
z_resolution,1.438449888287663,0.24215672689392376,False,600.0,1.4150115577924396
z_resolution,1.8329807108324356,0.24094727885038406,False,600.0,1.4150115577924396
z_resolution,2.3357214690901213,0.23691744425759048,False,600.0,1.4150115577924396
z_resolution,2.9763514416313175,0.23430852510321545,False,600.0,1.4150115577924396
z_resolution,3.79269019073225,0.2287696948025906,False,600.0,1.4150115577924396
z_resolution,4.832930238571752,0.2159761956767661,False,600.0,1.4150115577924396
z_resolution,6.158482110660261,0.1978637357810607,False,600.0,1.4150115577924396
z_resolution,7.847599703514611,0.2034454170406315,False,600.0,1.4150115577924396
z_resolution,10.0,0.16230969875530096,False,600.0,1.4150115577924396
