energy_ev,selected_grazing_angle_deg,selected_efficiency,precise_fwhm_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
3690.000000,0.923854,0.63898592,0.08193494,0,0,not_needed,0,0,bragg,auto_sparse,3610.000000,0.966743,0,0,0,voigt,voigt,0,0.92385418,0.07643861
3700.000000,0.918620,0.62907547,0.08256809,0,0,not_needed,0,0,bragg,auto_sparse,3620.000000,0.961218,0,0,0,voigt,voigt,0,0.91861999,0.07580200
3710.000000,0.913809,0.61743509,0.08106631,0,0,not_needed,0,0,bragg,auto_sparse,3630.000000,0.955956,0,0,0,voigt,voigt,0,0.91380920,0.07444753
3720.000000,0.908679,0.60704334,0.08029956,0,0,not_needed,0,0,bragg,auto_sparse,3650.000000,0.944913,0,0,0,voigt,voigt,0,0.90867901,0.07500774
3730.000000,0.903716,0.59958296,0.08008681,0,0,not_needed,0,0,bragg,auto_sparse,3650.000000,0.944913,0,0,0,voigt,voigt,0,0.90371646,0.07462016
3740.000000,0.898480,0.59720864,0.08066566,0,0,not_needed,0,0,bragg,auto_sparse,3660.000000,0.939821,0,0,0,voigt,voigt,0,0.89847976,0.07578661
3750.000000,0.893752,0.59933475,0.08065377,0,0,not_needed,0,0,bragg,auto_sparse,3680.000000,0.929305,0,0,0,voigt,voigt,0,0.89375161,0.07426713
3760.000000,0.888764,0.60615390,0.08070081,0,0,not_needed,0,0,bragg,auto_sparse,3680.000000,0.929305,0,0,0,voigt,voigt,0,0.88876388,0.07427598
3770.000000,0.884008,0.61565771,0.07939175,0,0,not_needed,0,0,bragg,auto_sparse,3690.000000,0.923854,0,0,0,voigt,voigt,0,0.88400759,0.07332812
3780.000000,0.878971,0.62686735,0.08023202,0,0,not_needed,0,0,bragg,auto_sparse,3710.000000,0.913809,0,0,0,voigt,voigt,0,0.87897130,0.07381073
3790.000000,0.874047,0.63750027,0.08027907,0,0,not_needed,0,0,bragg,auto_sparse,3710.000000,0.913809,0,0,0,voigt,voigt,0,0.87404746,0.07383192
3800.000000,0.869071,0.64646134,0.07982704,0,0,not_needed,0,0,bragg,auto_sparse,3720.000000,0.908679,0,0,0,voigt,voigt,0,0.86907052,0.07485119
3810.000000,0.864221,0.65287997,0.08058374,0,0,not_needed,0,0,bragg,auto_sparse,3730.000000,0.903716,0,0,0,voigt,voigt,0,0.86422086,0.07399505
3820.000000,0.859789,0.65647023,0.07850297,0,0,not_needed,0,0,bragg,auto_sparse,3740.000000,0.898480,0,0,0,voigt,voigt,0,0.85978935,0.07246618
3830.000000,0.855004,0.65898196,0.07847417,0,0,not_needed,0,0,bragg,auto_sparse,3750.000000,0.893752,0,0,0,voigt,voigt,0,0.85500442,0.07227242
3840.000000,0.850184,0.66062726,0.07871422,0,0,not_needed,0,0,bragg,auto_sparse,3760.000000,0.888764,0,0,0,voigt,voigt,0,0.85018400,0.07221193
3850.000000,0.845549,0.66165527,0.07752894,0,0,not_needed,0,0,bragg,auto_sparse,3770.000000,0.884008,0,0,0,voigt,voigt,0,0.84554899,0.07210640
3860.000000,0.840863,0.66266523,0.07754303,0,0,not_needed,0,0,bragg,auto_sparse,3780.000000,0.878971,0,0,0,voigt,voigt,0,0.84086270,0.07302140
3870.000000,0.836403,0.66347412,0.07727467,0,0,not_needed,0,0,bragg,auto_sparse,3790.000000,0.874047,0,0,0,voigt,voigt,0,0.83640323,0.07217378
3880.000000,0.831454,0.66508505,0.07887108,0,0,not_needed,0,0,bragg,auto_sparse,3800.000000,0.869071,0,0,0,voigt,voigt,0,0.83145429,0.07252816
3890.000000,0.827089,0.66586449,0.07842470,0,0,not_needed,0,0,bragg,auto_sparse,3810.000000,0.864221,0,0,0,voigt,voigt,0,0.82708858,0.07170764
3900.000000,0.822587,0.66675064,0.07833104,0,0,not_needed,0,0,bragg,auto_sparse,3820.000000,0.859789,0,0,0,voigt,voigt,0,0.82258740,0.07214889
3910.000000,0.818092,0.66748415,0.07820925,0,0,not_needed,0,0,bragg,auto_sparse,3830.000000,0.855004,0,0,0,voigt,voigt,0,0.81809184,0.07198505
3920.000000,0.813671,0.66795027,0.07683284,0,0,not_needed,0,0,bragg,auto_sparse,3840.000000,0.850184,0,0,0,voigt,voigt,0,0.81367105,0.07357265
3930.000000,0.809115,0.66847723,0.07808463,0,0,not_needed,0,0,bragg,auto_sparse,3850.000000,0.845549,0,0,0,voigt,voigt,0,0.80911548,0.07159542
3940.000000,0.804713,0.66870336,0.07728243,0,0,not_needed,0,0,bragg,auto_sparse,3860.000000,0.840863,0,0,0,voigt,voigt,0,0.80471342,0.07112197
3950.000000,0.800429,0.66875465,0.07738464,0,0,not_needed,0,0,bragg,auto_sparse,3870.000000,0.836403,0,0,0,voigt,voigt,0,0.80042879,0.07122563
3960.000000,0.796434,0.66843495,0.07563893,0,0,not_needed,0,0,bragg,auto_sparse,3880.000000,0.831454,0,0,0,voigt,voigt,0,0.79643400,0.07012465
3970.000000,0.791629,0.66938534,0.07600138,0,0,not_needed,0,0,bragg,auto_sparse,3890.000000,0.827089,0,0,0,voigt,voigt,0,0.79162880,0.07055044
3980.000000,0.787274,0.66982634,0.07647364,0,0,not_needed,0,0,bragg,auto_sparse,3900.000000,0.822587,0,0,0,voigt,voigt,0,0.78727446,0.07056600
3990.000000,0.782950,0.67033634,0.07673712,0,0,not_needed,0,0,bragg,auto_sparse,3910.000000,0.818092,0,0,0,voigt,voigt,0,0.78295032,0.07048200
4000.000000,0.779047,0.67024265,0.07530758,0,0,not_needed,0,0,bragg,auto_sparse,3920.000000,0.813671,0,0,0,voigt,voigt,0,0.77904698,0.06928513
4010.000000,0.774496,0.67106996,0.07633942,0,0,not_needed,0,0,bragg,auto_sparse,3930.000000,0.809115,0,0,0,voigt,voigt,0,0.77449645,0.06999439
4020.000000,0.770681,0.67066643,0.07417035,0,0,not_needed,0,0,bragg,auto_sparse,3940.000000,0.804713,0,0,0,voigt,voigt,0,0.77068097,0.07187407
4030.000000,0.766787,0.67027989,0.07398202,0,0,not_needed,0,0,bragg,auto_sparse,3950.000000,0.800429,0,0,0,voigt,voigt,0,0.76678659,0.06974684
4040.000000,0.762595,0.67024913,0.07378778,0,0,not_needed,0,0,bragg,auto_sparse,3960.000000,0.796434,0,0,0,voigt,voigt,0,0.76259535,0.07023401
4050.000000,0.758197,0.67049393,0.07499982,0,0,not_needed,0,0,bragg,auto_sparse,3970.000000,0.791629,0,0,0,voigt,voigt,0,0.75819707,0.06923812
4060.000000,0.754569,0.66972220,0.07395837,0,0,not_needed,0,0,bragg,auto_sparse,3980.000000,0.787274,0,0,0,voigt,voigt,0,0.75456889,0.06780469
4070.000000,0.750085,0.67036370,0.07520352,0,0,not_needed,0,0,bragg,auto_sparse,3990.000000,0.782950,0,0,0,voigt,voigt,0,0.75008507,0.06889067
4080.000000,0.746395,0.66997066,0.07322179,0,0,not_needed,0,0,bragg,auto_sparse,4000.000000,0.779047,0,0,0,voigt,voigt,0,0.74639520,0.07144136
4090.000000,0.742544,0.66992974,0.07359695,0,0,not_needed,0,0,bragg,auto_sparse,4010.000000,0.774496,0,0,0,voigt,voigt,0,0.74254390,0.06711490
4100.000000,0.738263,0.67060741,0.07398566,0,0,not_needed,0,0,bragg,auto_sparse,4020.000000,0.770681,0,0,0,voigt,voigt,0,0.73826294,0.06818067
4110.000000,0.734331,0.67064734,0.07421237,0,0,not_needed,0,0,bragg,auto_sparse,4030.000000,0.766787,0,0,0,voigt,voigt,0,0.73433061,0.06819013
4120.000000,0.730583,0.67028171,0.07321186,0,0,not_needed,0,0,bragg,auto_sparse,4040.000000,0.762595,0,0,0,voigt,voigt,0,0.73058330,0.06730266
4130.000000,0.726646,0.67006482,0.07205917,0,0,not_needed,0,0,bragg,auto_sparse,4050.000000,0.758197,0,0,0,voigt,voigt,0,0.72664638,0.07119364
4140.000000,0.722593,0.66995004,0.07313476,0,0,not_needed,0,0,bragg,auto_sparse,4060.000000,0.754569,0,0,0,voigt,voigt,0,0.72259335,0.06764658
4150.000000,0.719342,0.66875200,0.07149667,0,0,not_needed,0,0,bragg,auto_sparse,4070.000000,0.750085,0,0,0,voigt,voigt,0,0.71934193,0.06640119
4160.000000,0.715390,0.66868283,0.07099217,0,0,not_needed,0,0,bragg,auto_sparse,4080.000000,0.746395,0,0,0,voigt,voigt,0,0.71538999,0.06716540
4170.000000,0.711117,0.66927910,0.07262198,0,0,not_needed,0,0,bragg,auto_sparse,4090.000000,0.742544,0,0,0,voigt,voigt,0,0.71111745,0.06647717
4180.000000,0.707908,0.66822362,0.07049579,0,0,not_needed,0,0,bragg,auto_sparse,4100.000000,0.738263,0,0,0,voigt,voigt,0,0.70790754,0.06715237
4190.000000,0.703666,0.66883331,0.07253103,0,0,not_needed,0,0,bragg,auto_sparse,4110.000000,0.734331,0,0,0,voigt,voigt,0,0.70366584,0.06668173
4200.000000,0.700534,0.66761721,0.07084939,0,0,not_needed,0,0,bragg,auto_sparse,4120.000000,0.730583,0,0,0,voigt,voigt,0,0.70053435,0.06470086
4210.000000,0.696961,0.66701421,0.06991247,0,0,not_needed,0,0,bragg,auto_sparse,4130.000000,0.726646,0,0,0,voigt,voigt,0,0.69696104,0.06616238
4220.000000,0.693270,0.66649654,0.07070846,0,0,not_needed,0,0,bragg,auto_sparse,4140.000000,0.722593,0,0,0,voigt,voigt,0,0.69327044,0.06422627
