trial_index,loss,width_to_period_ratio,depth_nm,left_wall_angle_deg,top_cap_thickness_nm
0,0.0008135918844058124,0.559841938316822,14.24186440706253,16.240353882312775,0.6133334159851074
1,0.00011678093951917602,0.7148598993197084,15.025467954203487,8.43977018725127,1.362469544634223
2,0.00024458236717535075,0.7698737177997828,14.743462269753218,17.366110463626683,1.0935385241173208
3,0.0011311552019339936,0.6148559023626149,15.52682929635048,10.064027272164822,1.626013820618391
4,0.0011996592969765166,0.6042677959427237,14.630942705646158,6.088323965668678,1.7893493670970202
5,0.00023822338849185782,0.758626503776759,15.69891643486917,13.903441769070923,0.8351596149615943
6,0.00043528940051070105,0.6659845025278628,14.132273567467928,12.400081190280616,1.5224720999598502
7,0.0005239548900766891,0.5116256505250931,15.20048381537199,19.71669835038483,0.35828627413138747
8,0.00010060270433749945,0.7193277841807109,13.9,20.0,2.0
9,0.00013005894852847878,0.7087138011650512,13.9,20.0,0.3
10,0.00040207737225891264,0.7475374858360194,15.9,5.0,2.0
11,0.00013715301844689182,0.7184473223709316,13.9,20.0,1.1855856934345452
12,0.00024591542541030137,0.7115504525912043,15.9,20.0,1.2033968628722904
13,0.00011669318375542982,0.722929610483886,13.9,5.0,0.3692828288476398
14,0.0001318227769449174,0.7124378073435904,13.9,11.652152846368786,0.3
15,0.00015360213423885118,0.7130290157461618,13.9,12.148954992986003,2.0
16,0.0003773293248674279,0.7009477745036807,15.9,5.0,0.3
17,7.933285415986269e-05,0.7336003960612312,14.591731341979663,20.0,0.3
18,5.187862891422911e-05,0.7190006408376642,14.634353290263734,20.0,2.0
19,4.210862085164015e-06,0.7399114631988724,14.689456819086626,5.0,0.3
20,1.2640609897203378e-05,0.7321709223545122,14.739057405839509,5.0,0.3
21,0.0003409074454334832,0.8,14.77585771806245,5.0,0.3
22,1.8033242516422605e-05,0.7520058154510643,14.653480862703246,5.0,0.3
23,1.2003485656602978e-05,0.7410787639136565,14.70160557087667,5.0,0.5745711592083259
24,3.557697521191293e-06,0.7422381250041524,14.829728730456063,5.0,0.3
25,0.0008960224235609034,0.5,15.9,5.0,2.0
26,3.680181742520959e-06,0.7414791654705164,14.755676046331223,5.0,0.3
27,0.0001274177934144636,0.7677857011643944,13.9,5.0,2.0
28,3.7403933914688883e-06,0.7412144241949923,14.723087249190588,5.0,0.3
29,3.677834632933653e-06,0.7415762830067791,14.786454573055556,5.0,0.3
30,9.599883588704621e-05,0.7429367221457671,14.43381594963327,5.0,2.0
31,0.0005405347079366246,0.5,13.9,5.0,0.3
32,3.8491468703152836e-06,0.7409233985112373,14.76948794199889,5.0,0.3
33,3.816565905051624e-06,0.7410830580308415,14.809079793919471,5.0,0.3
34,3.8336351749718415e-06,0.7409219690814975,14.740486219240882,5.0,0.3
35,3.5563464525062014e-06,0.7421824394609434,14.778717565376384,5.0,0.3
36,3.6364077771953882e-06,0.7416744052797768,14.758907450506825,5.0,0.3
37,7.698418178406882e-06,0.7401187827571516,14.774943215414831,6.118258100488069,0.3
38,3.796230046240702e-06,0.7409675490554265,14.70971050886704,5.0,0.3
39,3.5386661799884768e-06,0.7423774604585728,14.801482403380902,5.0,0.3
40,3.6310979555426793e-06,0.7416759234034688,14.741079724996391,5.0,0.3
41,0.0011390786560296355,0.5,13.9,20.0,2.0
42,3.933163220863747e-06,0.7407261271141312,14.792180461842003,5.0,0.3
43,3.716162311327363e-06,0.7413684938157644,14.772029598547688,5.0,0.3
44,3.871262632536223e-06,0.7408347371372591,14.752970561016685,5.0,0.3
45,3.6783073840391754e-06,0.741605561413594,14.806912172557691,5.0,0.3
46,3.742937323964116e-06,0.7411575474116937,14.783542385153368,5.0,0.32774075853396306
47,1.040644838928725e-05,0.7030495542322751,14.777479170301294,20.0,0.3
48,3.544945763720954e-06,0.7422305396018379,14.762301612199954,5.0,0.3
49,4.317793572424214e-06,0.7399636612927968,14.839810163938791,5.0,0.3
50,9.227051139364045e-06,0.7118409493592285,14.886521903111717,20.0,0.3
51,6.542140740905667e-06,0.7105073793497723,14.816738285589715,20.0,0.6627312178797067
52,2.241476692080312e-05,0.7027838622950645,14.806727018403919,20.0,0.9162762017339465
53,8.365637692085027e-06,0.7096043381454848,14.714212333409733,20.0,0.37760213933600295
54,8.361885481912156e-06,0.7096354859484247,14.709848137374225,20.0,0.3
55,8.376642504898663e-06,0.7096396144351008,14.75035727075318,20.0,0.4730457041779721
56,3.5013825158795614e-06,0.7430691707159561,14.79190301894701,5.0,0.3
57,3.5102368809173285e-06,0.7434071515705043,14.80988463862127,5.0,0.3
58,3.513301980468384e-06,0.7435498051077801,14.84403525503257,5.0,0.3
59,0.0007624618828060886,0.5652099450238341,15.9,5.0,0.3
